ADOPTION_ID,USER_ID,CATEGORY_ID,SUBCATEGORY_ID,NAME,IMAGE_URL,AGE,LOCATION,REASON,HEALTH,LATEST_HEALTH_CHECK,VACCINATION,CARE_NEEDS,DIETARY_NEEDS,BEHAVIOR,NEUTERED_OR_SPAYED,NOTES,STATUS,GENDER,APPENDIX_URL
1,6,5,506,米奇,PetAdoptionImages/86om31vm2m0yx4gwoizbwtsxh4ci3f3uvn3hndkunbcmunyy9lit18zhwy81bmpw.jpg,1,上海市 / 上海市 / 浦东新区,因个人工作调动，无法继续照顾这对我来说是一个艰难的决定，因为我非常喜欢米奇，但为了他的幸福着想，我希望为他找到一个能够给他爱和关怀的新家,米奇身体健康状况良好，活泼好动，定期接受健康检查以确保他的身体状况最佳,2024-07-08 16:00:00,无需接种,,米奇偏好新鲜蔬菜作为零食，并主要食用高品质的专用鼠粮。建议每天提供适量的新鲜水和食物，保证其营养均衡。特别喜欢胡萝卜和苹果，这些可以作为偶尔的小奖励,米奇性格非常友好，喜欢与人互动，尤其是对熟悉的人特别亲近。他非常好奇且充满活力，在晚上会更加活跃。适合喜欢与宠物互动的家庭领养,0,领养者将获得米奇目前使用的全套装备，包括一个宽敞且通风良好的笼子、食盆、水壶以及一些玩具，如跑轮和磨牙棒等，这些都是为了确保米奇的生活质量而精心挑选的,0,0,
2,15,2,204,,PetAdoptionImages/se4ik59tasj143ffw32ublbqzehqorm5kz2wjqe5ut4jx4865fm4aixo29bt520q.jpg,3,北京市 / 北京市 / 朝阳区,由于家庭成员对猫毛过敏，尽管我们非常不舍，但不得不为小橘寻找一个新的家。我们希望为她找到一个能够给她足够关爱和照顾的新家庭,小橘身体健康状况良好，毛色亮丽，活泼好动,2024-09-07 16:00:00,已完成基础疫苗接种，包括猫三联苗及猫艾滋病病毒疫苗,,小橘偏好高质量的猫粮，并且特别喜欢新鲜肉类作为零食。建议每天提供适量的新鲜水和食物，保证其营养均衡。她特别喜欢鸡肉和鱼肉，这些可以作为偶尔的小奖励,小橘性格非常温和，亲人，能够与小孩子和其他猫咪和平相处。她非常聪明，能够很快学会使用猫砂盆。适合喜欢与宠物互动的家庭领养,1,领养者将获得小橘目前使用的全套装备，包括一个舒适的猫窝、猫砂盆、食盆、水碗以及一些玩具，如毛线球和小老鼠玩具等，这些都是为了确保小橘的生活质量而精心挑选的,0,1,
3,2,1,110,雷克斯,PetAdoptionImages/t4dh0c1gd2m5f61mryrszjoeepsnxr8z466gdeeba3jtv1r3u8p7tz1njkm66gxj.jpg,4,北京市 / 北京市 / 东城区,由于即将搬家至一个无法携带宠物的新居，我们不得不为雷克斯寻找一个新的家。这是一个艰难的决定，因为我们非常爱他，但我们相信他值得拥有一个充满爱的新家庭,雷克斯身体健康状况非常好，活泼好动，精力充沛,2024-08-31 16:00:00,已完成基础疫苗接种，包括狂犬病疫苗,,,友好且聪明，能够很好地与小孩子、猫咪以及其他狗狗相处；懂得在指定地点大小便，能听懂基本指令,1,雷克斯喜欢户外活动，每天需要外出散步至少两次，以保持他的活力和健康。他只在有草地的地方大小便，这对于新主人来说需要注意提供合适的环境,1,0,
4,19,2,211,小米,PetAdoptionImages/ks77pss165ny5a38e7xivtw3eu1z0hip1f2jn9d4prlei6ht368ez92qvn4tyhep.jpg,2,上海市 / 上海市 / 黄浦区,计划长期出国或频繁出差，无法确保猫咪得到稳定的照顾,健康良好，定期体检，无遗传疾病史,2024-07-19 16:00:00,已完成基础疫苗接种，包括猫三联苗及狂犬病疫苗,小米需要每周至少梳理一次毛发以减少掉毛，同时还需要定期清洁耳朵。这些简单的护理步骤有助于保持他的健康和舒适,需要高质量的猫粮，避免喂食含大量谷物的产品，偶尔可以喂一些煮熟的鸡肉或鱼肉作为奖励,,0,小米非常适合需要一个温暖陪伴的家庭，无需特别复杂的照料。他喜欢室内活动，偶尔也会欣赏窗外的景色,0,0,
5,17,2,205,云朵,PetAdoptionImages/6lgd2eohxaas2n7gc9kfeya9x3cj1xymmlw5kz1lfa8w5mbbiqmuqhv45pm85oh2.jpg,1,广东省 / 广州市 / 白云区,因工作调动至国外，新居所暂时无法满足饲养宠物的需求，因此不得不为心爱的云朵寻找一个充满爱心的新家,云朵身体健康，活泼好动，总是充满活力，是家中的一道亮丽风景线,2024-07-14 16:00:00,已完成基础疫苗接种，包括猫三联苗、猫白血病病毒疫苗及猫艾滋病病毒疫苗,,云朵偏好高质量的成猫干粮与适量湿粮的混合喂食方式，并偶尔会享受一些煮熟的鸡肉作为奖励，这样的饮食习惯有助于维持它的健康状态,温顺友好，喜欢亲近人，对儿童特别温柔；与其他猫咪相处融洽；懂得使用猫砂盆，在指定地点大小便,0,云朵是一只非常聪明且适应力强的布偶猫，很容易融入新环境，适合有小孩的家庭领养,0,0,
6,12,2,204,米团,PetAdoptionImages/0yjx2dk7lwd12tx0fkd67ripmbgpt1nfwj3f62jm9vlzr9c1n76o2xgtgq5srokb.jpg,2,广东省 / 深圳市 / 福田区,由于个人居住空间变小，为了给米团更好的生活环境，希望为它找到一个更宽敞、更适合它的家庭,米团身体健康，活力充沛，定期接受专业的体检，以确保它始终保持最佳状态,2024-08-24 16:00:00,已完成基础疫苗接种，包括猫三联苗、猫白血病病毒疫苗及猫艾滋病病毒疫苗,需进行常规的毛发梳理和牙齿清洁，以保持其良好的卫生习惯和健康状态,米团偏好高质量的成猫专用干粮，偶尔会搭配一些湿粮以增加水分摄入，这有助于维持其良好的消化系统功能；它还特别喜欢喝清水,米团性格极其温和，几乎没有任何脾气，对新环境适应能力极强，通常只需要几分钟就能完全放松下来并开始探索周围环境。与小孩子和其他猫咪都能友好相处，非常适合有小孩或多宠家庭,1,,0,1,
7,10,2,211,小影,PetAdoptionImages/jt7htba5qc6e6wastxs1rrorto5elagk5akbr8ccqozq5qkozoid37g9a4hr1v5b.jpg,3,四川省 / 成都市 / 锦江区,因工作调动需要长期出差，无法继续给予小影足够的陪伴，希望找到一位能够给予它足够关爱的新主人,小影身体健康，活泼好动，定期接受专业的健康检查,2024-09-05 16:00:00,已完成基础疫苗接种，包括猫三联苗,,确保每天有足够的清水供应,小影性格温和，特别喜欢静静地陪伴在主人身边，尤其爱看电视。它不吵闹，也不乱跑乱跳，适合安静的家庭环境。对新环境适应能力强，容易与人建立信任关系,0,小影是一只非常贴心的狸花猫，它喜欢与人亲近，能够成为主人的好伙伴，它懂得使用猫砂盆，且有良好的卫生习惯,0,0,
8,1,3,303,金宝,PetAdoptionImages/kp7x2mjo6pw2q9zlr9z71y8vwfl6wcf3whnxvrb9y1rqgaipf464vh4d7gdzto7n.jpg,1,重庆市 / 重庆市 / 渝中区,由于搬家无法携带金宝一同前往新居，希望能给金宝找一个充满爱的新家，让它继续快乐地生活,金宝的身体状况良好，颜色鲜艳，鳞片光滑，整体看起来非常健康,2024-08-07 16:00:00,无需接种,金宝需要一个稳定的环境，保持水质清洁非常重要。建议定期更换水，并且要避免水质的突然变化，这对金宝的健康至关重要,金宝可以喂食专门的金鱼饲料，以确保其营养均衡。偶尔还可以喂一些煮熟的蔬菜，例如豌豆或菠菜，但需要注意的是这些食物需要切成小块，并且喂食量要适量，以免影响消化,金宝性格温顺，喜欢游动探索，对人非常友好，当主人靠近时，它会游向水面，似乎在期待与人的互动。金宝对新环境适应能力强，容易与人建立起亲密的关系,1,金宝是一只非常活泼的雌性金鱼，喜欢在水中植物间穿梭，能给家庭带来欢乐。它非常适合那些喜欢观赏鱼类的家庭，可以成为家庭中的一个亮点,1,1,
9,3,3,305,小霓,PetAdoptionImages/k7ggueyxnchj4guxuc7c6ml5ud1i4peqv6idos0a7u2t66na5t9kea2z3u6gvivw.jpg,1,浙江省 / 杭州市 / 余杭区,因个人工作调动，未来居住地难以提供适宜的养鱼条件，希望能给小霓找到一个有爱心的新家,小霓身体健康，颜色鲜艳，没有明显的疾病迹象,2024-07-27 16:00:00,无需接种,需要维持稳定的水质条件，pH值应在5.5-7.0之间，水温应在22-26°C,可以喂食高质量的人工饲料，也可以适当给予活饵,小霓性格温和，群居时最为活跃，喜欢和其他红绿灯鱼一起游动。它们在群体中游动时，就像一道流动的彩虹，非常吸引人的眼球,1,小霓是群居鱼种，建议与同种鱼一起饲养，以保持其自然行为和减少压力。它们非常适合放在一个有足够空间的水族箱中，与其它温和的鱼种一起生活，共同营造出一个和谐美丽的水下世界,0,0,
10,7,3,308,墨影,PetAdoptionImages/yfydcq8uhtgokli0mja870ezl027pvojr1t1ybca56lv87g0nme8bv6prxzsz5z5.jpg,1,江苏省 / 南京市 / 玄武区,由于家庭成员对鱼缸维护产生了过敏反应，我们不得不做出艰难的决定，希望为墨影找到一个充满爱心的新家，让它能够继续享受快乐的生活,墨影身体状况良好，活力充沛，无明显疾病迹象,2024-08-03 16:00:00,无需接种,需要保持稳定的水质条件，包括pH值在6.0-7.8之间，水温在22-26°C,墨影可以接受各种高质量的热带鱼饲料，包括冻干食物、活饵如蚊子幼虫和小型水蚤。为了保持其健康状态，建议提供多样化的食物，并注意适量喂食，以避免过度喂食导致水质恶化,墨影性格温和，群居时最为活跃。它喜欢和其他黑裙鱼一起游动，非常适合与同类或其他温和的小型鱼一起饲养，形成一个和谐的社群,1,墨影是群居鱼种，建议至少成群饲养5条以上，以保持其自然行为和减少压力,0,1,
